Title,Genre(s),Developer(s),Publisher(s)
Drawful 2,"Party, trivia",Jackbox Games,Jackbox Games
Drawn to Death,Multiplayer online battle arena,Bartlet Jones,Sony Interactive Entertainment
Dread Nautical,Tactical turn-basedrole-playing,Zen Studios,Zen Studios
Dreamfall Chapters: The Longest Journey,Adventure,Red Thread Games,Deep Silver
Dreams,Game creation system,Media Molecule,Sony Interactive Entertainment
Dreamwalker: Never Fall Asleep,Puzzlehidden object,Artifex Mundi,Artifex Mundi
Dreii,Puzzle,Etter Studio,bitforge
Driveclub,Racing,Evolution Studios,Sony Computer Entertainment
Driveclub Bikes,Racing,Evolution Studios,Sony Computer Entertainment
Dual Gear,Mechturn-based strategy,Orbital Speed Studio,Corecell Technology
Duck Game,Action,Landon Podbielski,Adult Swim Games
Duke Nukem 3D: 20th Anniversary World Tour,First-person shooter,Gearbox Software,Gearbox Software
Dungeons 2,Strategy,Realmforge Studios,Kalypso Media
Dungeons 3,Strategy,Realmforge Studios,Kalypso Media
Dungeon Defenders: Awakened,"Role-playing, tower defense",Chromatic Games,Chromatic Games
Dungeon Encounters,Role-playing,Cattle Call,Square Enix
Dungeon of the Endless,Rogueliketower defense,Amplitude Studios,Playdigious
Dungeon Punks,Beat 'em up,Hyper Awesome,Hyper Awesome
Dungeon Village,Simulation,Kairosoft,Kairosoft
DungeonTop,Roguelike deck-building,One Up Plus Entertainment,QubicGames
Dungreed,Actionroguelike,Team Horay,Pikii
Dusk Diver,Action role-playing,Jera Game Studio,JP: Justdan InternationalWW: PQube
Dust: An Elysian Tail,Action role-playing,Humble Hearts,Humble Hearts
Dustoff Heli Rescue 2,Action,Invictus Games,Rainy Frog
Dustoff Z,Action,Invictus Games,Zordix
The Dwarves,Role-playing,King Art Games,King Art Games
Dying: 1983,Adventure,Nekcom,2P Games
Dying Light,"Action role-playing, survival horror",Techland,WB Games
Dying Light 2: Stay Human,Action role-playingsurvival horror,Techland,NA: Square EnixWW: Techland
Dynasty Warriors 8: Empires,Hack and slash,Omega Force,Tecmo Koei
Dynasty Warriors 8: Xtreme Legends Complete Edition,Action role-playing,Omega Force,Tecmo Koei
Dynasty Warriors 9,Hack and slash,Omega Force,Koei Tecmo
Dynasty Warriors 9: Empires,Hack and slash,Omega Force,Koei Tecmo
Dynasty Warriors: Godseekers,Tactical role-playing,Omega Force,Tecmo Koei
Dynasty Warriors Online,Hack and Slash,Koei Tecmo,Koei Tecmo
Earth Atlantis,Shoot 'em up,Pixel Perfex,Headup Games
Earth Defense Force 4.1,Third-person shooter,Sandlot,D3 Publisher
Earth Defense Force 5,Third-person shooter,Sandlot,D3 Publisher
Earth Defense Force 6,Third-person shooter,Sandlot,D3 Publisher
Earth Defense Force: Iron Rain,Third-person shooter,Yuke's,D3 Publisher
Earth Defense Force: World Brothers,Third-person shooter,Yuke'sSandlot,D3 Publisher
Earth Wars,Side-scroller,One or Eight,Rising Star Games
Earthfall,First-person shooter,Holospark Games,Holospark Games
Earthlock: Festival of Magic,Role-playing,Snowcastle Games,Snowcastle Games
EarthNight,Actionplatform,Cleaversoft,WW: CleaversoftJP: Intragames
EA Sports UFC,Fightingsports,EA Canada,Electronic Arts
EA Sports UFC 2,Fightingsports,EA Canada,Electronic Arts
EA Sports UFC 3,Fightingsports,EA Canada,Electronic Arts
EA Sports UFC 4,Fightingsports,EA Canada,Electronic Arts
Eastshade,Adventure,Eastshade Studios,Eastshade Studios
eBaseball Powerful Pro Yakyuu 2020,Sports,Konami,Konami
eBaseball Powerful Pro Yakyuu 2022,Sports,Konami,Konami
Echo,Actionstealth,Ultra Ultra,Ultra Ultra
Edge of Eternity,Role-playing,Midgar Studio,Midgar Studio
Edna & Harvey: Harvey's New Eyes,Point & click adventure,Daedalic Entertainment,Daedalic Entertainment
Edna & Harvey: The Breakout,Point & click adventure,Daedalic Entertainment,Daedalic Entertainment
Effie,Action-adventureplatform,Inverge Studios,Inverge Studios
eFootball Pro Evolution Soccer 2020,Sports,PES Productions,Konami
eFootball PES 2021 Season Update,Sports,PES Productions,Konami
Eitr,Action role-playing,Eneme Entertainment,Devolver Digital
Eiyuden Chronicle: Hundred Heroes,Japanese role-playing,Rabbit & Bear Studios,Rabbit & Bear Studios
Elden Ring,Action role-playing,FromSoftware,Bandai Namco
The Elder Scrolls Online,Massively multiplayer online role-playing,ZeniMax Online Studios,Bethesda Softworks
The Elder Scrolls V: Skyrim – Special Edition,Action role-playing,Bethesda Game Studios,Bethesda Softworks
Electronic Super Joy,Platform,Michael Todd Games,Loot Interactive
Electronic Super Joy 2,Platform,Michael Todd Games,Severed Press
ELEX,Action role-playing,Piranha Bytes,THQ Nordic
ELEX II,Action role-playing,Piranha Bytes,THQ Nordic
Elliot Quest,"Platform-adventure, metroidvania",Ansimuz Games,Ansimuz Games
Elite: Dangerous,Space trading and combat,Frontier Developments,Frontier Developments
Embers of Mirrim,Platform,Creative Bytes,Creative Bytes
Emily Wants to Play,Survival horror,Shawn Hitchcock,SKH Apps
Empire of Angels IV,Tactical role-playing,Softstar Entertainment,EastAsiaSoft
Empire of Sin,Role-playingstrategy,Romero Games,Paradox Interactive
Enchanted Portals,Shoot 'em uprun and gun,Xixo Game Studio,Xixo Game Studio
Ender Lilies: Quietus of the Knights,Metroidvania,Live WireAdglobe,Binary Haze Interactive
The End Is Nigh,"Adventure, platform",Edmund McMillen,Nicalis
Endless Dungeon,Action role-playingstrategy,Amplitude Studios,Sega
Endless Fables: Dark Moor,Puzzlehidden object,Artifex Mundi,Artifex Mundi
Energy Hook,Action-adventure,Happion Labs,Happion Labs
Enigmatis: The Ghosts of Maple Creek,Puzzlehidden object,Artifex Mundi,Artifex Mundi
Enigmatis 2: The Mists of Ravenwood,Puzzlehidden object,Artifex Mundi,Artifex Mundi
Enigmatis 3: The Shadow of Karkhala,Puzzlehidden object,Artifex Mundi,Artifex Mundi
Enter the Gungeon,Bullet hellroguelike,Dodge Roll,Devolver Digital
Entwined,Action-adventure,Pixelopus,Sony Computer Entertainment
Epic Astro Story,Simulation,Kairosoft,Kairosoft
Erica,Interactive drama,Flavourworks,Sony Interactive Entertainment
Escape Plan,Puzzle,Fun Bits Interactive,Sony Computer Entertainment
Escape Goat 2,"Platform, puzzle",MagicalTimeBean,Double Fine Productions
The Escapists,Strategyrole-playing,Mouldy Toof Studios,Team17
The Escapists 2,Strategyrole-playing,Mouldy Toof Studios,Team17
The Escapists: The Walking Dead,Strategyrole-playing,Mouldy Toof Studios,Team17
Eschatos,Shoot 'em up,Qute Corporation,Qute Corporation
ESP Ra.De. Psi,Shoot 'em up,CaveM2,M2
ESports Life Tycoon,Simulation,U-Play Online,Raiser Games
Ether One,"Adventure, puzzle",White Paper Games,White Paper Games
Etherborn,Platform,Altered Matter,Altered Matter
Euro Fishing,Simulation,Dovetail Games,Dovetail Games
Evan's Remains,Puzzle adventure,Matías Schmied,Whitethorn Digital
Eve: Valkyrie - Warzone,Space Shooter,CCP Games,CCP Games
Even the Ocean,Action-adventureplatform,Analgesic Productions,Ratalaika Games
Eventide: Slavic Fable,Puzzlehidden object,Artifex Mundi,Artifex Mundi
Eventide 2: Sorcerer's Mirror,Puzzlehidden object,Artifex Mundi,Artifex Mundi
Eventide 3: Legacy of Legends,Puzzlehidden object,Artifex Mundi,Artifex Mundi
Ever Forward,Puzzle adventure,Pathea Games,PM Studios
Evergate,Puzzle-platform,Stone Lantern Games,PQube
Everspace,Shooter,Rockfish Games,BadLand Games
Everspace 2,Shooter,Rockfish Games,BadLand Games
Evertried,Rougelike,Lunic Games,Dangen Entertainment
Everybody's Golf,Sports,Clap Hanz,Sony Computer Entertainment
Everybody's Gone to the Rapture,Adventure,The Chinese Room,Sony Computer Entertainment
Everything,Adventure,David OReilly,Double Fine Productions
Evil Dead: The Game,Survival horror,Boss Team Games,Saber Interactive
Evil Genius 2: World Domination,Real-time strategysimulation,Rebellion Developments,Rebellion Developments
Evil West,Action-adventure,Flying Wild Hog,Focus Home Interactive
The Evil Within,Survival horror,Tango Gameworks,Bethesda Softworks
The Evil Within 2,Survival horror,Tango Gameworks,Bethesda Softworks
Evolve,First-person shooter,Turtle Rock Studios,2K Games
Evotinction,Action-adventure,Spikewave Games,Spikewave Games
Exception,Actionplatform,Traxmaster Software,Traxmaster Software
Exile's End,Action,Magnetic Realms,Xseed Games
Exist Archive,Role-playing,Tri-Ace,Spike Chunsoft
Exit the Gungeon,Bullet hellroguelike,Dodge Roll Games,Devolver Digital
Extinction,Action-adventure,Iron Galaxy Studios,Maximum Games
Exophobia,First-person shooter,Zarc Attack,PM Studios
ExZeus: The Complete Collection,Rail shooter,Sickhead Games,Zigguat Interactive
F1 2015,Racing,Codemasters,Codemasters
F1 2016,Racing,Codemasters,Codemasters
F1 2017,Racing,Codemasters,Codemasters
F1 2018,Racing,Codemasters,Codemasters
F1 2019,Racing,Codemasters,Codemasters
F1 2020,Racing,Codemasters,Codemasters
F1 2021,Racing,Codemasters,Electronic Arts
Faeria,Collectible cardturn-based strategy,Abrakam,Versus Evil
Fairy Fencer F: Advent Dark Force,Japanese role-playing,Compile Heart,Idea Factory
Fairy Tail,Role-playing,Gust Co. Ltd.,Koei Tecmo
The Falconeer: Warrior Edition,Aerial combat,Tomas Sala,Wired Productions
The Fall,Action-adventureplatform,Over the Moon,Over the Moon
The Fall Part 2: Unbound,Action-adventureplatform,Over the Moon,Over the Moon
Fall Guys: Ultimate Knockout,Battle royaleobstacle racing,Mediatonic,Devolver Digital
Fallen Legion: Revenants,Action role-playing,Yummy Yummy Tummy,NIS America
Fallen Legion: Sins of an Empire,Action role-playing,Yummy Yummy Tummy,Acttil
Fallout 4,Action role-playing,Bethesda Game Studios,Bethesda Softworks
Fallout 76,Action role-playing,Bethesda Game Studios,Bethesda Softworks
Family Feud,Quiz,_Misc,Ubisoft
Family Mysteries: Poisonous Promises,Puzzlehidden object,Brave Giant,Artifex Mundi
Family Mysteries 2: Echoes of Tomorrow,Puzzlehidden object,Brave Giant,Artifex Mundi
Fantasy General II,Turn-based strategy,Owned by Gravity,Slitherine Software
Far Cry 3 Classic,First-person shooter,Ubisoft Montreal,Ubisoft
Far Cry 3 Blood Dragon Classic Edition,First-person shooter,Ubisoft Montreal,Ubisoft
Far Cry 4,First-person shooter,Ubisoft Montreal,Ubisoft
Far Cry 5,First-person shooter,Ubisoft Montreal,Ubisoft
Far Cry 6,First-person shooter,Ubisoft Toronto,Ubisoft
Far Cry Primal,Action-adventure,Ubisoft Montreal,Ubisoft
Far: Lone Sails,Adventure,Mr. Whale's Game Service,Mixtvision
Farming Simulator 15,Simulation,Giants Software,Focus Home Interactive
Farming Simulator 17,Simulation,Giants Software,Focus Home Interactive
Farming Simulator 19,Simulation,Giants Software,Focus Home Interactive
Farm Together,Simulationstrategy,Milkstone Studios,Milkstone Studios
Fast & Furious Crossroads,Racing,Slightly Mad Studios,Bandai Namco Entertainment
Fast Striker,Shoot 'em up,NGDEV,EastAsiaSoft
Fatal Frame: Maiden of Black Water,Survival horror,Koei Tecmo,Koei Tecmo
Fate/Extella Link,Action,Marvelous Interactive,Marvelous Interactive
Fate/Extella: The Umbral Star,Action,Marvelous,Marvelous
Fat Princess Adventures,"Action-adv, hack and slash",Fun Bits Interactive,Sony Computer Entertainment
Fault Milestone One,Visual novel,Alice in Dissonance,Sekai Project
Fault Milestone Two Side: Above,Visual novel,Alice in Dissonance,Phoenixx
Fault Milestone Two Side: Below,Visual novel,Alice in Dissonance,Sekai Project
Fe,Adventure,Zoink,Electronic Arts
Feist,"Platform, puzzle",Bits & Beasts,Finji Games
Felix the Reaper,Puzzle,Kong Orange,Daedalic Entertainment
Fell Seal: Arbiter's Mark,Tactical role-playing,6 Eyes Studio,1C Company
Fenix Furia,Platform,Green Lava Studios,Green Lava Studios
Feudal Alloy,Metroidvania,Attu Games,JP: Rainy FrogWW: Attu Games
Fez,"Platform, puzzle",Polytron Corporation,Polytron Corporation
FIA European Truck Racing Championship,Racing,N-Racing,Bigben Interactive
Fibbage,"Party, trivia",Jackbox Games,Jackbox Games
FIFA 14,Sports,EA Canada,Electronic Arts
FIFA 15,Sports,EA Canada,Electronic Arts
FIFA 16,Sports,EA Canada,Electronic Arts
FIFA 17,Sports,EA Canada,Electronic Arts
FIFA 18,Sports,EA Canada,Electronic Arts
FIFA 19,Sports,EA Vancouver,Electronic Arts
FIFA 20,Sports,EA Vancouver,Electronic Arts
FIFA 21,Sports,EA Vancouver,Electronic Arts
FIFA 22,Sports,EA Vancouver,Electronic Arts
Fighting EX Layer,Fighting,Arika,Arika
Fight'N Rage,Fighting,Seba Games DevBlitWorks,BlitWorks
Figment,Adventurepuzzle,Bedtime Digital,Bedtime Digital
Filthy Lucre,Actionstealth,Fabrik Games,Fabrik Games
Final Fantasy VII,Action role-playing,Square Enix,Square Enix
Final Fantasy VII Remake,Action role-playing,Square Enix,Square Enix
Final Fantasy VIII Remastered,Action role-playing,Square Enix,Square Enix
Final Fantasy IX,Action role-playing,Square Enix,Square Enix
Final Fantasy X/X-2 HD Remaster,Action role-playing,Square Enix,Square Enix
Final Fantasy XII: The Zodiac Age,Action role-playing,Square Enix,Square Enix
Final Fantasy XIV: A Realm Reborn,Massively multiplayer online role-playing,Square Enix,Square Enix
Final Fantasy XIV: Heavensward,Massively multiplayer online role-playing,Square Enix,Square Enix
Final Fantasy XIV: Stormblood,Massively multiplayer online role-playing,Square Enix,Square Enix
Final Fantasy XIV: Shadowbringers,Massively multiplayer online role-playing,Square Enix,Square Enix
Final Fantasy XV,Action role-playing,Square Enix,Square Enix
Final Fantasy: Crystal Chronicles Remastered,Action role-playing,Square Enix,Square Enix
Final Fantasy Type-0 HD,Action role-playing,Square Enix,Square Enix
Final Horizon,Tower defense,Eiconic Games,Eiconic Games
The Final Station,Platform,Do My Best,TinyBuild
Fire Pro Wrestling World,Sports,Spike Chunsoft,Spike Chunsoft
Firewatch,Adventure,Campo Santo,Campo Santo
Fishing: Barents Sea,Sports,Misc Games,Astragon
Fishing Sim World: Pro Tour,Simulation,Dovetail Games,Dovetail Games
F.I.S.T.: Forged In Shadow Torch,Action-adventure,TiGames,Bilibili
Fist of the North Star: Lost Paradise,Action-adventure,Sega CS1,Sega
Five Dates,Interactive fiction,Good Gate Media,Wales Interactive
Five Nights at Freddy's,Survival horror,Clickteam,Steel Wool
Five Nights at Freddy's 2,Survival horror,Clickteam,Steel Wool
Five Nights at Freddy's 3,Survival horror,Clickteam,Steel Wool
Five Nights at Freddy's 4,Survival horror,Clickteam,Steel Wool
Five Nights at Freddy's: Help Wanted,Survival horror,Clickteam,Steel Wool
Five Nights at Freddy's: Security Breach,Survival horror,Steel Wool Studios,ScottGames
Five Nights at Freddy's: Sister Location,Survival horror,Clickteam,Clickteam
The Flame in the Flood,"Roguelike, survival",The Molasses Flood,Curve Digital
Flame Over,Action,Laughing Jackal,Laughing Jackal
Flashback,Action-adventure,Microids,Microids
Flat Heroes,Action,Parallel Circles,Deck13
FlatOut 4: Total Insanity,Racing,Kylotonn,Strategy First
Flinthook,Actionplatform,Tribute Games,Tribute Games
Flipper Mechanic,Simulation,SimFabric,SimFabric
Flipping Death,Adventure,Zoink,Zoink
Flockers,Puzzle-platform,Team17,Team17
Flow,Life simulation,SuperVillain Studios,Sony Computer Entertainment
Flower,Adventure,Bluepoint Games,Sony Computer Entertainment
Fluster Cluck,Party,Loot Interactive,Loot Interactive
Fobia: St. Dinfra Hotel,Psychological horror,Pulsatrix Studios,Maximum Games
"Football, Tactics & Glory",Sportsstrategyturn-based,Creoteam,Toplitz Productions
Forager,Adventure,HopFrog,Humble Bundle
Forced,Action role-playing,BetaDwarf,BetaDwarf
Foreclosed,Shooter,Antab Studio,Merge Games
Foregone,Actionplatform,Big Blue Bubble,Big Blue Bubble
For Honor,Adventure,Ubisoft Montreal,Ubisoft
The Forest,Survival adventure,SKS Games,SKS Games
Forgotton Anne,Adventure,ThroughLine Games,Square Enix Collective
Forma.8,Action-adventure,MixedBag,MixedBag
For the King,Action role-playing,IronOak Games,IronOak Games
Foul Play,"Action-adv, beat 'em up",Mediatonic,Devolver Digital
Four Sided Fantasy,"Platform, puzzle",Ludo Land,Serenity Forge
Fragments of Him,Adventure,Sassybot,Sassybot
Frane: Dragons' Odyssey,Action role-playing,Exe Create,Kemco
Frantics,Party,NapNok Games,NapNok Games
FreakOut: Calamity TV Show,Twin-stick shooter,Immaterial Games,JanduSoft
Freddy Spaghetti,Action-adventuresimulation,Playful Pasta,Ratalaika Games
Freedom Finger,Shoot 'em up,Wide Right Interactive,Wide Right Interactive
Freedom Planet,Platform,GalaxyTrail,GalaxyTrail
Friday the 13th: The Game,Survival horror,Gun Media,IllFonic
Frostpunk,City-buildingsurvival,11 Bit Studios,11 Bit Studios
Full Metal Panic! Fight! Who Dares Wins,Role-playingstrategy,B.B. Studio,Bandai Namco Entertainment
Full Mojo Rampage,Action role-playing,Over The Top Games,Nicalis
Full Throttle Remastered,Graphic adventure,Double Fine Productions,Double Fine Productions
Furi,"Action, shoot 'em up",The Game Bakers,The Game Bakers
Fury Unleashed,Actionplatform,Awesome Games,Awesome Games
Fuser,Rhythm,Harmonix,NCSoft
Fushigi no Gensōkyō 3,Dōjin,Aqua Style,Mediascape
Future Unfolding,"Adventure, puzzle",Spaces of Play,Spaces of Play
FutureGrind,Action,Milkbag Games,Milkbag Games
Futuridium EP Deluxe,"Shooter, puzzle",MixedBag,MixedBag
Fuuraiki 4,Adventure,FOG Inc.,Nippon Ichi Software
Fuyu Kiss,Visual novel,Giga,Entergram
Gakuen,Shoot 'em upvisual novel,M2,M2
Gal Gun: Double Peace,Rail shooter,Inti Creates,Alchemist
Gal Gun 2,Rail shooter,Inti Creates,Inti Creates
Gal Gunvolt,Rail shooter,Inti Creates,Inti Creates
Gal Gunvolt Burst,Rail shooter,Inti Creates,Inti Creates
Galacide,Shoot 'em up,Puny Human,Puny Human
Galak-Z: The Dimensional,Shooter,17-Bit,17-Bit
Galaxy of Pen & Paper +1 Edition,Role-playing,Behold Studios,Plug In Digital
Galaxy Squad,Real-time strategy,Big Way LLC,Big Way LLC
Game Dev Story,Business simulation,Kairosoft,Kairosoft
Game of Thrones,Graphic adventure,Telltale Games,Telltale Games
Game Tengoku CruisnMix,Arcadeshoot 'em up,City Connection,Degica
Ganbare! Super Strikers,Tactical role-playing,Ratalaika Games,Ratalaika Games
Gang Beasts,Party,Boneloaf Games,Double Fine Productions
The Gardens Between,Puzzle,The Voxel Agents,The Voxel Agents
Garfield Kart: Furious Racing,Kart racing,Artefact,Microïds
Garou: Mark of the Wolves,Fighting,Code Mystics,SNK Playmore
Gas Guzzlers Extreme,Racingvehicular combat,Gamepires,Iceberg Interactive
Gauntlet: Slayer Edition,Hack and slash,Arrowhead Studios,WB Games
Gekido: Kintaro's Revenge,Beat 'em up,NAPS team,NAPS team
Gemini: Heroes Reborn,Action-adventure,Phosphor Games,Phosphor Games
Gem Smashers,Puzzle,Frame Studios,Funbox Media
Generation Zero,Action,Avalanche Studios,Avalanche Studios
Gensō No Rondo,2D arena fighter,Cube Type,PlayDoujin
Gensō Rōgoku no Kaleidoscope,Visual novel,07th Expansion,Entergram
Geometry Wars 3: Dimensions,Multidirectional shooter,Lucid Games,Sierra Entertainment
Get Even,First-person shooter,The Farm 51,Bandai Namco Entertainment
Ghost 1.0,Metroidvania,Francis Cota,Unepic Games
Ghost Blade HD,Action,Hucast,2Dream
Ghostbusters: The Video Game Remastered,Action-adventure,Saber Interactive,JP: H2 InteractiveWW: Mad Dog Games
Ghost of a Tale,"Adventure, stealth",SeithCG,SeithCG
Ghost of Tsushima,Action-adventure,Sucker Punch Productions,Sony Interactive Entertainment
Ghosts 'n Goblins Resurrection,Platform,Capcom,Capcom
Ghostrunner,Actionplatform,One More Level,All in! Games505 Games
Ghoulboy: Dark Sword of Goblin,Action platform,Serkan Bakar,Hidden Trap
Ghoul Patrol,Run and gun,Dotemu,Lucasfilm Games
G.I. Joe: Operation Blackout,Third-person shooter,IguanaBee,GameMill Entertainment
Giana Sisters: Twisted Dreams - Director's Cut,Platform,Black Forest Games,Black Forest Games
Giga Wrecker Alt.,Platform,Game Freak,Rising Star Games
Ginga Force,Shoot 'em up,Qute Corporation,Rising Star Games
Giraffe and Annika,Action-adventurerhythm,Atelier Mimina,NIS America
Girls und Panzer: Dream Tank Match,Action,Bandai Namco Entertainment,Bandai Namco Entertainment
Glass Masquerade,Puzzle,Onyx Lute,Digerati
Glass Masquerade 2,Puzzle,Onyx Lute,Digerati
Glitched,Role-playing,En House Studios,En House Studios
Gnog,"Adventure, puzzle",KO_OP,KO_OP
Goat Simulator,Action,Coffee Stain Studios,Coffee Stain Studios
God Eater Resurrection,Action role-playing,Bandai Namco Entertainment,Bandai Namco Entertainment
God Eater 2: Rage Burst,Action role-playing,Bandai Namco Entertainment,Bandai Namco Entertainment
God Eater 3,Action role-playing,Marvelous First Studio,Bandai Namco Entertainment
Godfall,Action role-playing,Counterplay Games,Gearbox Publishing
God of War III Remastered,Action-adventure,Santa Monica Studio,Sony Computer Entertainment
God of War,Action-adventure,Santa Monica Studio,Sony Interactive Entertainment
God Wars: Future Past,Tactical role-playing,Kadokawa Games,Kadokawa Games
God's Trigger,Top-down shooter,One More Level,Techland
Gods Will Fall,Action-adventure,Clever Beans,Deep Silver
Godzilla: The Game,Action-adventure,Bandai Namco Entertainment,Bandai Namco Entertainment
Going Under,Action,Aggro Crab Games,Team17
Golden Force,Action-adventureplatform,Storybird Studio,Just For GamesPixelHeart
Golf Zero,Platform-puzzle,Colin LaneBrad Erkkila,Ratalaika Games
The Golf Club,Sports,HB Studios,HB Studios
The Golf Club 2,Sports,HB Studios,HB Studios
The Golf Club 2019 featuring PGA Tour,Sports,HB Studios,2K Sports
Golf with Your Friends,Sports,Blacklight Interactive,Team17
Gone Home,Adventure,The Fullbright Company,Midnight City
Gonner,Roguelike,Art in Heart,Raw Fury
Gonner 2,Roguelike,Art in Heart,Raw Fury
Goodbye Deponia,Point-and-click adventure,Daedalic Entertainment,Daedalic Entertainment
Goodbye Volcano High,Adventure,KO_OP,KO_OP
The Good Life,Role-playing,White Owls,Playism
Goosebumps: The Game,Point-and-click adventure,WayForward,WayForward
Gotham Knights,Action role-playing,WB Games Montréal,WB Games
Gothic Murder: Adventure That Changes Destiny,Visual novel,Orange,Orange
Grab the Bottle,"Action, puzzle",Kamina Dimension,Sometimes You
Graceful Explosion Machine,Shoot 'em up,Vertex Pop,Vertex Pop
Granblue Fantasy: Relink,Action role-playing,Cygames,Cygames
Granblue Fantasy Versus,Fighting,Arc System Works,JP: CygamesNA: Xseed GamesEU: Marvelous Europe
Grand Ages: Medieval,Grand strategy wargame,Gaming Minds Studios,Kalypso Media
Grand Kingdom,Tactical role-playing,MonoChro,Spike Chunsoft
Grand Prix Rock N Racing,Racing,Unfinished Pixel,Unfinished Pixel
Grand Prix Story,Simulation,Kairosoft,Kairosoft
Grand Theft Auto: The Trilogy – The Definitive Edition,Action-adventure,Grove Street Games,Rockstar Games
Grand Theft Auto V,Action-adventureopen world,Rockstar North,Rockstar Games
Gran Turismo 7,Racing,Polyphony Digital,Sony Interactive Entertainment
Gran Turismo Sport,Racing,Polyphony Digital,Sony Computer Entertainment
Gravel,Racing,Milestone s.r.l.,Milestone s.r.l.
Graven,First-person shooter,Slipgate Ironworks,3D Realms
Graveyard Keeper,Role-playingsimulation,Lazy Bear Games,TinyBuild
Gravity Heroes,Shoot 'em up,Studica Solutions,PQube
Gravity Ghost: Deluxe Edition,Physics based puzzler,Ivy Games,Ivy Games
Gravity Rush Remastered,Action role-playing,Japan Studio,Sony Computer Entertainment
Gravity Rush 2,Action role-playing,Japan Studio,Sony Interactive Entertainment
The Great Ace Attorney Chronicles,Adventure,Capcom,Capcom
GreedFall,Action role-playing,Spiders,Focus Home Interactive
Green Hell,Survival,Creepy Jar,Creepy Jar
Grey Skies: A War of the Worlds Story,Action-adventure,Steel Arts Software,Steel Arts Software
Grid,Racing,Codemasters,Codemasters
Grid Legends,Racing,Codemasters,Electronic Arts
Gridd: Retroenhanced,Shoot 'em up,Antab Studio,Kongregate
Griftlands,Roguelikedeck-building,Klei Entertainment,Klei Entertainment
Grim Fandango Remastered,Graphic adventure,Double Fine Productions,Disney Interactive Studios
Grim Legends: The Forsaken Bride,Puzzlehidden object,Artifex Mundi,Artifex Mundi
Grim Legends 2: Song of the Dark Swan,Puzzlehidden object,Artifex Mundi,Artifex Mundi
Grim Legends 3: The Dark City,Puzzlehidden object,Artifex Mundi,Artifex Mundi
Grip: Combat Racing,Racing,Caged Element,Caged Element
Gris,Platform-adventure,Nomada Studio,JP: GHI MediaWW: Devolver Digital
Grood,Shoot 'em up,CC_ARTS,Drageus Games
Grow Home,"Adventure, platform",Ubisoft,Ubisoft
Grow Up,Adventure,Ubisoft Reflections,Ubisoft
Guacamelee! Super Turbo Championship Edition,Beat 'em upplatform,DrinkBox Studios,DrinkBox Studios
Guacamelee! 2,Beat 'em upplatform,DrinkBox Studios,DrinkBox Studios
Guard Duty,Point & click adventure,Sick Chicken Studios,Ratalaika Games
Guardians of the Galaxy: The Telltale Series,Graphic adventure,Telltale Games,Telltale Games
Guild of Darksteel,Adventureside-scrolling,Igor Sandman,Digerati
Guilty Gear,Fighting,Arc System Works,Arc System Works
Guilty Gear Strive,Fighting,Arc System Works,Arc System Works
Guilty Gear Xrd: Revelator,Fighting,Arc System Works,Arc System Works
Guilty Gear Xrd: Sign,Fighting,Arc System Works,Aksys Games
Guitar Hero Live,"Music, rhythm",FreeStyleGames,Activision
Gundam Breaker 3,Mech-combat,Bandai Namco Entertainment,Bandai Namco Entertainment
Gundam Versus,Mech-combat,Bandai Namco Entertainment,Bandai Namco Entertainment
Gungrave G.O.R.E.,Third-person shooter,Iggymob,Iggymob
Gunhead,Actionshooter,Alientrap,Alientrap
Gunlord X,Action platform,NGDEV,EastAsiaSoft
Gunman Clive HD Collection,Actionplatform,Horberg Productions,JP: Flyhigh WorksWW: Hörberg Productions
"Guns, Gore and Cannoli",Actionplatform,Crazy Monkey Studios,JP: IntraGamesWW: Crazy Monkey Studios
"Guns, Gore and Cannoli 2",Actionplatform,Crazy Monkey Studios,JP: IntraGamesWW: Crazy Monkey Studios
Gunscape,First-person shooter,Blowfish Studios,Blowfish Studios
Guns of Icarus Alliance,Actionstrategy,Muse Games,Muse Games
Gunvein,Shoot 'em up,NGDEV,NGDEV
Gunvolt Chronicles: Luminous Avenger iX,Actionplatform,Inti Creates,Inti Creates
Gunvolt Chronicles: Luminous Avenger iX 2,Actionplatform,Inti Creates,Inti Creates
.hack//G.U. Last Recode,Action role-playing,CyberConnect2,Bandai Namco Entertainment
Hakoniwa Company Works,Role-playingsandbox,Nippon Ichi Software,Nippon Ichi Software
Hamidashi Creative,Visual novel,Madosoft,iMel
Hammerwatch,Hack and slash,Crackshell,Blitworks
Hand of Fate,Action role-playing,Defiant Development,Defiant Development
Hand of Fate 2,Action role-playing,Defiant Development,Defiant Development
Handball 16,Sports,Eko Software,Bigben Interactive
Handball 17,Sports,Eko Software,Bigben Interactive
Handball 21,Sports,Eko Software,Nacon
Hard Reset Redux,First-person shooter,Flying Wild Hog,Gambitious Entertainment
Hard West: Ultimate Edition,Turn-based tactics,CreativeForge Games,Forever Entertainment
Hardcore Mecha,Action,RocketPunch,JP: Arc System WorksWW: RocketPunch
Hardspace: Shipbreaker,Simulation,Blackbird Interactive,Focus Home Interactive
Hardware: Rivals,Vehicular combat,Connected Content Group,Sony Computer Entertainment
Harvest Moon: Light of Hope,Lifefarm simulation,Natsume,Natsume
Harvest Moon: Mad Dash,Lifefarm simulation,Natsume,NA: NatsumeEU: Rising Star Games
